"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"citrulline","mtab_TSQ_cm_PMI_2020_1112_51",0.564,6515.13,8421905.51883656,527067.013399233
"citrulline","mtab_TSQ_cm_PMI_2020_1112_52",0.575,18310.95,23633986.0126978,1470613.28448746
"citrulline","mtab_TSQ_cm_PMI_2020_1112_53",0.566,10628.43,13726483.8097395,856089.4024207
"citrulline","mtab_TSQ_cm_PMI_2020_1112_54",0.566,5903.86,7633601.82791194,478171.59713075
"citrulline","mtab_TSQ_cm_PMI_2020_1112_55",0.575,12310.13,15895231.3632395,990608.390001816
"citrulline","mtab_TSQ_cm_PMI_2020_1112_56",0.555,13542.86,17484979.934106,1089214.31945467
"citrulline","mtab_TSQ_cm_PMI_2020_1112_57",0.575,10928.19,14113059.1600619,880067.169987636
"citrulline","mtab_TSQ_cm_PMI_2020_1112_58",0.575,14808.49,19117156.877756,1190451.91608444
"citrulline","mtab_TSQ_cm_PMI_2020_1112_59",0.556,15656.28,20210480.5908925,1258266.53966855
"citrulline","mtab_TSQ_cm_PMI_2020_1112_60",0.575,19655.63,25368107.1164858,1578174.08143137
"citrulline","mtab_TSQ_cm_PMI_2020_1112_61",0.565,14649.85,18912572.1647351,1177762.32091892
"citrulline","mtab_TSQ_cm_PMI_2020_1112_62",0.565,10126.78,13079547.8460045,815962.477214025
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_51",4.208,671.92,655104.608659476,598542.699831752
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_52",4.335,287.93,276885.376997374,258688.085725712
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_53",4.172,282.87,271901.420872969,254209.676529179
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_54",4.288,159.28,150168.785020163,144824.974434423
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_55",4.265,1163.81,1139602.27230246,1033895.40727887
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_56",4.264,625.46,609342.829699031,557422.760845407
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_57",4.287,555.72,540650.912680059,495698.599310588
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_58",4.277,1069.84,1047044.49423718,950726.215144848
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_59",4.271,539.01,524192.03781073,480909.228228758
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_60",4.283,436.9,423616.591197492,390535.638691614
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_61",4.263,287.31,276274.6946264,258139.347839971
"cyanocobalamin","mtab_TSQ_cm_PMI_2020_1112_62",4.286,389.63,377056.985268516,348698.800209382
