"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc"
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_88",2.361,8.22,1896.9812492553,613.674232928315
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_89",2.316,200.86,25335.4457871425,24675.9257030592
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_90",2.202,3935.35,479709.986028496,491143.105378563
"guanosine neg","mtab_TSQ_cm_PMI_2020_1112_85",0,3.26,1293.49918889442,0
"inosine","mtab_TSQ_cm_PMI_2020_1112_79",2.211,1679.5,410743.214333333,321496.442758756
"inosine","mtab_TSQ_cm_PMI_2020_1112_80",2.111,89,21756.4651343284,17390.5908157796
"inosine","mtab_TSQ_cm_PMI_2020_1112_81",2.29,287.79,70374.3059851741,55399.5202767945
"inosine","mtab_TSQ_cm_PMI_2020_1112_82",2.183,424.73,103865.563725075,81582.6421661822
"inosine","mtab_TSQ_cm_PMI_2020_1112_83",2.071,2847.82,696477.888224676,544880.880949273
"inosine","mtab_TSQ_cm_PMI_2020_1112_84",2.252,142.88,34933.8345444776,27692.5231029142
"inosine","mtab_TSQ_cm_PMI_2020_1112_85",2.166,2227.48,544762.050439005,426270.994627798
"inosine","mtab_TSQ_cm_PMI_2020_1112_86",2.325,8634.22,2111651.05739482,1651248.75374578
"inosine","mtab_TSQ_cm_PMI_2020_1112_87",2.236,3924.61,959827.175662586,750764.653545109
"inosine","mtab_TSQ_cm_PMI_2020_1112_88",2.165,7.35,1787.41887711443,1778.99520990468
"inosine","mtab_TSQ_cm_PMI_2020_1112_89",2.321,46.22,11293.8099122388,9210.99424481413
"inosine","mtab_TSQ_cm_PMI_2020_1112_90",2.206,1839.09,449773.95642995,352010.276717624
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_79",0.809,3394.28,189121.388564716,125608.215898174
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_80",0.802,3951.89,219984.277486214,146202.889137453
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_81",0.811,14679.37,813734.431980549,542409.817422266
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_82",0.81,5255.53,292138.823698837,194351.307963609
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_83",0.932,1440.38,80975.9129388955,53443.2044345594
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_84",0.808,5098.1,283425.30600204,188536.815023992
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_85",0.811,4291.53,238782.849235819,158747.095337106
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_86",0.953,1440.38,80975.9129388955,53443.2044345594
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_87",0.681,2396.87,133916.220007497,88770.0439938167
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_88",0.829,1440.38,80975.9129388955,53443.2044345594
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_89",0.82,3481.33,193939.477337544,128823.305845412
"inosine 5'-monophosphate neg","mtab_TSQ_cm_PMI_2020_1112_90",0.821,3016.24,168197.433599987,111645.750606345
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_80",0.566,200.16,16710.0230876112,8794.64072226537
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_82",0.52,377.73,29655.4866768828,18540.9698484304
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_84",0.554,359.09,28296.5665816864,17517.8714933495
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_85",0.52,999.4,74977.3673410855,52662.7270588997
"isenthionic acid ","mtab_TSQ_cm_PMI_2020_1112_86",0.519,1216.2,90782.8328259877,64562.2830343042
