OrthologID,Log2 Fold Change,Post-p (Low N /Replete > 2),Post-p (Replete /Low N > 2)
OG_10749,0.198656391,0,0
OG_1075,0.114166736,0,0
OG_10750,0.22138618,0,0
OG_10751,0.049561789,0,0
OG_10752,0.022117995,0,0
OG_10753,0.06513485,0,0
OG_10754,0.114756902,0,0
OG_10755,0.177945637,0,0
OG_10756,-0.087567294,0,0
OG_10757,0.243873856,0,0
OG_10758,-0.297423095,0,0
OG_10759,-0.029982204,0,0
OG_10760,0.081325287,0,0
OG_10761,-0.04701035,0,0
OG_10762,0.026177749,0,0
OG_10763,0.023279498,0,0
OG_10764,-0.053860302,0,0
OG_10765,0.312266679,0,0
OG_10766,0.024515111,0,0
OG_10767,0.094174744,0,0
OG_10768,-0.294778649,0,0
OG_10769,0.121684182,0,0
OG_1077,0.014647263,0,0
OG_10770,0.011196633,0,0
OG_10771,0.013713283,0,0
OG_10772,0.128744334,0,0
OG_10773,0.008944398,0,0
OG_10774,0.116939397,0,0
OG_10775,-0.058957648,0,0
OG_10776,0.006714961,0,0
OG_10777,0.300141769,0,0
OG_10778,0.035761516,0,0
OG_10779,0.019679948,0,0
OG_10780,-0.073033119,0,0
OG_10781,0.276894103,0,0
OG_10782,-0.028482606,0,0
OG_10783,0.041432433,0,0
OG_10784,-0.011907416,0,0
OG_10785,-0.156935209,0,0
OG_10786,0.022831593,0,0
OG_10787,0.203360518,0,0
OG_10788,-0.096767162,0,0
OG_10789,0.009761773,0,0
OG_1079,-0.131308768,0,0
OG_10790,0.051478694,0,0
OG_10791,0.050004986,0,0
OG_10792,-0.100192418,0,0
OG_10793,-0.152968891,0,0
OG_10794,0.109348479,0,0
OG_10795,-0.130506779,0,0
OG_10796,0.150432792,0,0
OG_10797,0.013056248,0,0
OG_10798,0.087372007,0,0
OG_10799,0.005636533,0,0
OG_108,0.051298701,0,0
OG_10800,-0.119558944,0,0
OG_10801,-0.073953319,0,0
OG_10802,-0.06782946,0,0
OG_10803,0.052488886,0,0
OG_10804,0.005497809,0,0
OG_10805,0.040557761,0,0
OG_10806,0.282877146,0,0
OG_10807,-0.063564219,0,0
OG_10808,0.02024967,0,0
OG_10809,0.430727862,7.12E-07,0
OG_10810,-0.020751074,0,0
OG_10811,-0.256869209,0,0
OG_10812,0.001717167,0,0
OG_10813,-0.094463124,0,0
OG_10814,0.000337547,0,0
OG_10815,0.214276685,0,0
OG_10816,0.136613451,0,0
OG_10817,-0.053477153,0,0
OG_10818,-0.085749403,0,0
OG_10819,0.023020522,0,0
OG_1082,-0.031779446,0,0
OG_10820,0.065790484,0,0
OG_10821,-0.133048209,0,0
OG_10822,-0.216137737,0,0
OG_10823,-0.067155359,0,0
OG_10824,-0.069309087,0,0
OG_10825,-0.030962918,0,0
OG_10826,-0.091769603,0,0
OG_10827,-0.123729105,0,0
OG_10828,0.176993547,0,0
OG_10829,-0.119780863,0,0
OG_1083,-0.076637276,0,0
OG_10830,-0.051558831,0,0
OG_10831,0.072371487,0,0
OG_10832,0.152798293,0,0
OG_10833,0.056724822,0,0
OG_10834,0.113669552,0,0
OG_10835,0.038932661,0,0
OG_10836,0.218430723,0,0
OG_10837,-0.223749602,0,0
OG_10838,0.061615347,0,0
OG_10839,-0.073184492,0,0
OG_1084,0.09893009,0,0
OG_10840,0.004424443,0,0
OG_10841,0.084338144,0,0
OG_10842,0.033591751,0,0
OG_10843,-0.570996755,0,0.004136617
OG_10844,0.25318344,0,0
OG_10845,-0.016036149,0,0
OG_10846,0.007891356,0,0
OG_10847,-0.278729386,0,0
OG_10848,0.020685971,0,0
OG_10849,0.004012586,0,0
OG_1085,-0.142055139,0,0
OG_10850,0.083748756,0,0
OG_10851,0.0494425,0,0
OG_10852,-0.036362822,0,0
OG_10853,-0.049296171,0,0
OG_10854,0.038768381,0,0
OG_10855,-0.013918417,0,0
OG_10856,0.295832915,0,0
OG_10857,-0.279434528,0,0
OG_10858,0.031639798,0,0
OG_10859,0.226022973,0,0
OG_1086,-0.130150468,0,0
OG_10860,0.136422293,0,0
OG_10861,-0.025481844,0,0
OG_10862,0.105605006,0,0
OG_10863,0.263224663,0,0
OG_10864,0.111734931,0,0
OG_10865,0.082622957,0,0
OG_10866,-0.04368228,0,0
OG_10867,-0.009134882,0,0
OG_10868,0.022850109,0,0
OG_10869,0.233869338,0,0
OG_1087,0.037147013,0,0
OG_10870,-0.039975229,0,0
OG_10871,-0.005843489,0,0
OG_10872,-0.096474157,0,0
OG_10873,-0.09944397,0,0
OG_10874,0.301374607,0,0
OG_10875,0.01103529,0,0
OG_10876,0.052233805,0,0
OG_10877,0.080149778,0,0
OG_10878,-0.167628391,0,0
OG_10879,0.042617911,0,0
OG_1088,0.244102903,0,0
OG_10880,0.058173912,0,0
OG_10881,0.047038692,0,0
OG_10882,-0.09805662,0,0
OG_10883,-0.005843489,0,0
OG_10885,-0.150252962,0,0
OG_10886,0.083253973,0,0
OG_10887,0.03891958,0,0
OG_10888,0.187090948,0,0
OG_10889,0.031553741,0,0
OG_10890,0.078931259,0,0
OG_10892,0.164144276,0,0
OG_10895,-0.055787154,0,0
OG_10896,-0.075870228,0,0
OG_10898,0.016523453,0,0
OG_1090,0.02487438,0,0
OG_10900,0.045278899,0,0
OG_10901,0.233468602,0,0
OG_10904,0.119044935,0,0
OG_10905,-0.248384525,0,0
OG_10906,0.018982015,0,0
OG_10907,0.095690251,0,0
OG_1091,0.02112085,0,0
OG_10911,0.012417522,0,0
OG_10916,0.096569032,0,0
OG_10918,0.207644277,0,0
OG_1092,-0.169914558,0,0
OG_10920,0.059824082,0,0
OG_10921,-0.451463858,0,0
OG_10922,-0.107489341,0,0
OG_10923,-0.110451145,0,0
OG_10928,-0.026529155,0,0
OG_1093,-0.064795756,0,0
OG_10931,-0.206289562,0,0
OG_10932,0.060614721,0,0
OG_10933,-0.218891183,0,0
OG_10935,0.019383012,0,0
OG_10937,0.003143913,0,0
OG_10939,0.103797907,0,0
OG_1094,0.183431451,0,0
OG_10940,-0.106379941,0,0
OG_10942,0.133904282,0,0
OG_10943,0.137172446,0,0
OG_10944,-0.000658763,0,0
OG_10945,-0.146776199,0,0
OG_10946,0.135196367,0,0
OG_10947,-0.039661968,0,0
OG_10949,0.160872968,0,0
OG_1095,-0.010512479,0,0
OG_10950,0.091035175,0,0
OG_10955,0.100912269,0,0
OG_10956,-0.12620516,0,0
OG_10957,0.008890233,0,0
OG_1096,-0.271400274,0,0
OG_10960,0.100583668,0,0
OG_10962,0.078292966,0,0
OG_10964,0.015702062,0,0
OG_10965,-0.014737832,0,0
OG_10966,-0.030322461,0,0
OG_10967,0.132750931,0,0
OG_10968,-0.115147099,0,0
OG_1097,-0.165227318,0,0
OG_10971,-0.090765009,0,0
OG_10973,-0.002355117,0,0
OG_10976,0.353543761,0,0
OG_10977,-0.008462344,0,0
OG_1098,-0.216168787,0,0
OG_10982,0.063135946,0,0
OG_10983,0.024981359,0,0
OG_10984,0.071819173,0,0
OG_10986,-0.053731624,0,0
OG_10987,0.149073148,0,0
OG_10988,-0.149432639,0,0
OG_10989,0.047471806,0,0
OG_10991,-0.088371911,0,0
OG_10992,0.119188603,0,0
OG_10995,-0.08648679,0,0
OG_10997,-0.059013634,0,0
OG_10998,0.044228069,0,0
OG_10999,0.159289021,0,0
OG_11,-0.037199999,0,0
OG_110,0.000915766,0,0
OG_1100,0.237635393,0,0
OG_11000,0.027203388,0,0
OG_11002,-0.057929007,0,0
OG_11003,-0.035551657,0,0
OG_11005,-0.051984909,0,0
OG_11006,-0.06516332,0,0
OG_11007,-0.024675958,0,0
OG_11008,0.203631793,0,0
OG_1101,-0.033595983,0,0
OG_11010,0.216328155,0,0
OG_11013,0.018126415,0,0
OG_11014,-0.155425176,0,0
OG_11015,0.074207486,0,0
OG_11016,0.049750372,0,0
OG_11018,-0.12770415,0,0
OG_11019,0.016591748,0,0
OG_1102,0.140907483,0,0
OG_11021,-0.227048156,0,0
OG_11025,-0.109693903,0,0
OG_11027,0.016118017,0,0
OG_1103,0.030893343,0,0
OG_11035,-0.083470405,0,0
OG_11036,-0.017510666,0,0
OG_11038,0.017061728,0,0
OG_1104,0.143367748,0,0
OG_11040,0.039129017,0,0
OG_11042,0.095400949,0,0
OG_11043,0.152788294,0,0
OG_11046,0.037386983,0,0
OG_11048,-0.130402048,0,0
OG_1105,-0.033521908,0,0
OG_11051,-0.036080417,0,0
OG_11058,-0.037172272,0,0
OG_11059,0.041210179,0,0
OG_1106,0.210342251,0,0
OG_11062,0.012966855,0,0
OG_11063,-0.094289961,0,0
OG_11064,-0.12552377,0,0
OG_11065,0.036459243,0,0
OG_11066,-0.071051014,0,0
OG_11067,0.135623199,0,0
OG_1107,-0.108538615,0,0
OG_11072,-0.061417647,0,0
OG_11074,0.161104272,0,0
OG_11075,-0.08284519,0,0
OG_11079,0.040001539,0,0
OG_1108,0.079315921,0,0
OG_11081,-0.039435724,0,0
OG_11082,0.097402572,0,0
OG_11085,0.025594783,0,0
OG_11087,0.151365675,0,0
OG_11089,-0.210519907,0,0
OG_1109,-0.133086223,0,0
OG_11091,0.11786589,0,0
OG_11092,0.031493681,0,0
OG_11093,0.003556059,0,0
OG_11096,-0.002411495,0,0
OG_11099,0.073592128,0,0
OG_111,-0.069988099,0,0
OG_1110,0.077638504,0,0
OG_11105,-0.007972132,0,0
OG_11106,0.074918423,0,0
OG_1111,0.003591676,0,0
OG_11116,-0.02791106,0,0
OG_11118,0.015032734,0,0
OG_1112,-0.181941645,0,0
OG_11122,-0.085616124,0,0
OG_11128,-0.085133079,0,0
OG_11129,-0.166000233,0,0
OG_11132,0.082531635,0,0
OG_11135,-0.068728925,0,0
OG_11136,0.189209831,0,0
OG_11137,0.080841247,0,0
OG_1114,0.02552559,0,0
OG_11141,-0.180262145,0,0
OG_11143,-0.036883306,0,0
OG_11145,-0.078190199,0,0
OG_11146,-0.253838437,0,0
OG_11149,0.008254617,0,0
OG_1115,0.140455944,0,0
OG_11151,-0.094386306,0,0
OG_11153,-0.2120332,0,0
OG_11155,-0.103775376,0,0
OG_11157,-0.026098848,0,0
OG_1116,-0.115296979,0,0
OG_11160,0.097993326,0,0
OG_11161,0.11237174,0,0
OG_11164,-0.070907382,0,0
OG_11167,-0.125591877,0,0
OG_11169,0.157525349,0,0
OG_11170,-0.030073275,0,0
OG_11171,0.040673199,0,0
OG_11174,-0.034607866,0,0
OG_11177,0.165311561,0,0
OG_11179,-0.058678247,0,0
OG_1118,-0.037916976,0,0
OG_11180,-0.060096391,0,0
OG_11183,-0.011402163,0,0
OG_11184,0.043182304,0,0
OG_11186,-0.099388309,0,0
OG_11187,0.10008062,0,0
OG_11188,0.018352386,0,0
OG_11189,-0.068932196,0,0
OG_11191,0.099776126,0,0
OG_11192,0.154818672,0,0
OG_11195,0.01292317,0,0
OG_11196,0.128549599,0,0
OG_11197,0.032195848,0,0
OG_11198,0.067398726,0,0
OG_11199,-0.07173004,0,0
OG_112,-0.042617509,0,0
OG_1120,-0.064778595,0,0
OG_11204,-0.029742373,0,0
OG_11206,-0.091786531,0,0
OG_1121,0.03591364,0,0
OG_11210,0.283172995,0,0
OG_11211,0.06358547,0,0
OG_11212,0.025477281,0,0
OG_11214,0.015636672,0,0
OG_11215,0.180335753,0,0
OG_11216,0.072781476,0,0
OG_11217,0.047638451,0,0
OG_11218,0.003566401,0,0
OG_11219,-0.030543197,0,0
OG_1122,-0.223356282,0,0
OG_11221,-0.103637497,0,0
OG_11222,0.293338275,0,0
OG_11223,-0.059099905,0,0
OG_11224,-0.028586454,0,0
OG_11227,-0.135348208,0,0
OG_11228,-0.014844088,0,0
