OrthologID,Log2 Fold Change,Post-p (Low P/ Replete > 2),Post-p (Replete /Low P > 2)
OG_10237,0.05168693,0,0
OG_10238,-0.125349536,0,0
OG_10239,0.057773604,0,0
OG_1024,0.07040288,0,0
OG_10240,0.369442017,0,0
OG_10247,0.045832259,0,0
OG_1025,0.217574413,0,0
OG_10251,-0.029070118,0,0
OG_10254,-0.22782536,0,0
OG_10256,0.378139991,2.56E-07,0
OG_10259,-0.153914854,0,0
OG_1026,-0.025818979,0,0
OG_10264,-0.109047549,0,0
OG_10267,-0.08488359,0,0
OG_1027,-0.529781102,0,8.01E-06
OG_10270,-0.068825134,0,0
OG_10272,-0.031652958,0,0
OG_10275,0.258118693,3.18E-05,0
OG_10276,-0.076451664,0,0
OG_10286,-0.283261143,0,0
OG_1029,-0.046687914,0,0
OG_103,-0.059788835,0,0
OG_1030,-0.029357641,0,0
OG_1031,0.377540591,0,0
OG_1032,0.132615078,0,0
OG_10320,0.028521418,0,0
OG_1033,0.064127091,0,0
OG_1034,0.089912662,0,0
OG_1035,0.045003095,0,0
OG_10359,0.007459977,0,0
OG_1036,0.073403815,0,0
OG_10362,-0.106306092,0,0
OG_10363,-0.111105606,0,0
OG_10369,0.471545121,0.002431675,0
OG_1037,-0.195297272,0,0
OG_10371,-0.117195858,0,0
OG_10375,0.042197657,0,0
OG_1038,0.069177801,0,0
OG_1039,-0.039289949,0,0
OG_104,-0.188189296,0,0
OG_1040,0.036020229,0,0
OG_1041,0.59998631,0.165660336,0
OG_1042,-0.124028498,0,0
OG_10423,0.303481192,0,0
OG_1043,0.116018811,0,0
OG_10436,0.30321263,8.47E-06,0
OG_1045,0.081212509,0,0
OG_10451,-0.018861382,0,0
OG_10456,-0.098209091,0,0
OG_1046,-0.16963921,0,0
OG_1047,-0.259718057,0,0
OG_1048,-0.607064121,0,1.24E-05
OG_10485,-0.158522027,0,0
OG_10489,-0.008927124,0,0
OG_10492,0.077587863,0,0
OG_10497,0.171570578,0,0
OG_105,-0.306860415,0,0
OG_1050,0.184208172,0,0
OG_10500,0.283894595,0,0
OG_10510,0.227186368,0,0
OG_10515,-0.091164777,0,0
OG_10517,0.234508228,0,0
OG_10518,0.431163414,0.001805332,0
OG_1052,0.275561674,0,0
OG_10520,0.055500798,0,0
OG_10521,0.14491909,1.31E-06,0
OG_10526,0.180144517,0,0
OG_10532,-0.157738628,0,0
OG_10538,0.128299639,0,0
OG_1054,0.039393485,0,0
OG_10541,-0.153286801,0,0
OG_10548,0.034466055,0,0
OG_10549,0.15593204,0,0
OG_1055,-0.144436453,0,0
OG_10559,0.093285658,0,0
OG_1056,-0.189326487,0,0
OG_10562,0.132968453,0,0
OG_1057,-0.052371833,0,0
OG_1058,0.18102631,0,0
OG_10585,0.022724719,0,0
OG_10586,0.061443718,0,0
OG_1059,-0.158756807,0,0
OG_10594,-0.168591579,0,0
OG_10595,0.227651728,0,0
OG_10596,0.09755489,0,0
OG_106,0.005007481,0,0
OG_1060,0.252983588,0,0
OG_10600,-0.216611374,0,0
OG_10604,-0.101491983,0,0
OG_10608,0.062605889,0,0
OG_10609,-0.844932401,0,0.999399025
OG_1061,0.014291487,0,0
OG_10611,-0.028880617,0,0
OG_10612,-0.653889601,0,0.170788224
OG_1062,0.12890256,0,0
OG_10628,0.105731365,0,0
OG_1063,0.084639917,0,0
OG_10634,-0.163014872,0,0
OG_1064,0.05244873,0,0
OG_10641,-0.330100861,0,0
OG_10648,-0.057143945,0,0
OG_10649,0.097342026,0,0
OG_1065,0.179085845,0,0
OG_10650,0.176996758,0,0
OG_10653,-0.514970441,0,7.06E-07
OG_10655,-0.229035987,0,0
OG_10656,0.274694171,0,0
OG_1066,-0.030823838,0,0
OG_10660,0.12823601,0,0
OG_10661,0.049545522,0,0
OG_10662,-0.512137865,0,0
OG_10663,-0.070958363,0,0
OG_10664,-0.047271161,0,0
OG_10665,0.119676645,0,0
OG_10666,-0.087009014,0,0
OG_10667,-0.105760938,0,0
OG_10668,-0.329294232,0,0
OG_10669,0.124613025,0,0
OG_1067,0.083201343,0,0
OG_10670,0.111967196,0,0
OG_10671,0.227795216,0,0
OG_10672,-0.139036016,0,0
OG_10673,-0.037127123,0,0
OG_10674,0.037133274,0,0
OG_10675,-0.102604259,0,0
OG_10676,0.037445668,0,0
OG_10677,0.419734723,2.01E-05,0
OG_10678,-0.496750114,0,0
OG_10679,-0.44697819,0,0
OG_1068,-0.273748901,0,0
OG_10680,0.053178226,0,0
OG_10681,-0.115332838,0,0
OG_10682,0.047664437,0,0
OG_10683,-0.123360817,0,0
OG_10684,-0.117430572,0,0
OG_10685,-0.666983608,0,0.257853741
OG_10686,-0.370458528,0,2.46E-05
OG_10687,0.073640675,0,0
OG_10688,0.059941679,0,0
OG_10689,-0.107678289,0,0
OG_1069,-0.310148562,0,0
OG_10690,-0.169328585,0,0
OG_10691,-0.002240811,0,0
OG_10692,0.471870855,0,0
OG_10693,0.155005058,0,0
OG_10694,-0.156671374,0,0
OG_10695,-0.160697437,0,0
OG_10696,-0.220516387,0,0
OG_10697,-0.155370452,0,0
OG_10698,0.175966871,0,0
OG_10699,0.175771618,0,0
OG_107,-0.167137097,0,0
OG_1070,-0.080117459,0,0
OG_10700,-0.123566953,0,0
OG_10701,0.131553695,0,0
OG_10702,-0.056933547,0,0
OG_10703,-0.253510828,0,0
OG_10704,-0.17475724,0,0
OG_10705,-0.473223438,0,0
OG_10706,-0.634570192,0,0.096541169
OG_10707,0.116074148,0,0
OG_10708,-0.059323482,0,0
OG_10709,-0.212808532,0,0
OG_1071,0.184526345,0,0
OG_10710,-0.231629658,0,0
OG_10711,0.065053187,0,0
OG_10712,-0.011861986,0,0
OG_10713,0.075088172,0,0
OG_10714,-0.183322985,0,0
OG_10715,0.017099857,0,0
OG_10716,0.05873515,0,0
OG_10717,-0.056027864,0,0
OG_10718,0.071773756,0,0
OG_10719,-0.356075699,0,8.61E-05
OG_1072,-0.02494946,0,0
OG_10720,0.166183155,0,0
OG_10721,-0.038366446,0,0
OG_10722,-0.374165761,0,0
OG_10723,0.094096877,0,0
OG_10724,0.094912107,0,0
OG_10725,-0.597547384,0,0.125950418
OG_10726,0.116067091,0,0
OG_10727,-0.225265597,0,0
OG_10728,-0.215582112,0,0
OG_10729,0.127241388,0,0
OG_1073,0.108883682,0,0
OG_10730,-0.52126324,0,0.0011328
OG_10731,-0.103069856,0,0
OG_10732,-0.420805546,0,0
OG_10733,-0.264181448,0,0
OG_10734,0.138774884,0,0
OG_10735,-0.220838923,0,0
OG_10736,0.061035193,0,0
OG_10737,0.047301924,0,0
OG_10738,-0.247955653,0,0
OG_10739,0.197628128,0,0
OG_1074,-0.14157398,0,0
OG_10740,0.182273836,0,0
OG_10741,-0.114411887,0,0
OG_10742,0.032535972,0,0
OG_10743,-0.023135792,0,0
OG_10744,-0.088063245,0,0
OG_10745,0.160399289,0,0
OG_10746,0.077154074,0,0
OG_10747,0.298965113,0,0
OG_10748,0.062514844,0,0
OG_10749,-0.017014814,0,0
OG_1075,0.154501329,0,0
OG_10750,0.133551848,0,0
OG_10751,0.05813359,0,0
OG_10752,0.014061795,0,0
OG_10753,-0.344938453,0,0
OG_10754,0.083330239,0,0
OG_10755,0.303142472,0,0
OG_10756,-0.457338128,0,8.07E-06
OG_10757,0.307096811,0,0
OG_10758,-0.279257432,0,0
OG_10759,0.04466964,0,0
OG_10760,0.122444856,0,0
OG_10761,-0.215188061,0,0
OG_10762,-0.172155782,0,0
OG_10763,0.24902953,0,0
OG_10764,-0.247919163,0,0
OG_10765,0.109509725,0,0
OG_10766,0.046920345,0,0
OG_10767,0.461317935,3.03E-05,0
OG_10768,-0.174556811,0,0
OG_10769,-0.04115436,0,0
OG_1077,0.089916735,0,0
OG_10770,0.464476588,0.000461275,0
OG_10771,0.035863713,0,0
OG_10772,0.35607432,4.82E-05,0
OG_10773,-0.28014173,0,0
OG_10774,-0.184800638,0,0
OG_10775,-0.007614283,0,0
OG_10776,-0.133690771,0,0
OG_10777,0.113570897,0,0
OG_10778,0.007124893,0,0
OG_10779,0.296463694,0,0
OG_10780,0.003304693,0,0
OG_10781,0.197333507,0,0
OG_10782,0.086595344,0,0
OG_10783,0.058162824,0,0
OG_10784,0.049913829,0,0
OG_10785,-0.05615066,0,0
OG_10786,0.103548587,0,0
OG_10787,0.078601397,0,0
OG_10788,-0.214992067,0,0
OG_10789,-0.169404992,0,2.18E-06
OG_1079,-0.249674408,0,0
OG_10790,0.204962517,0,0
OG_10791,0.434541051,0,0
OG_10792,-0.131771214,0,0
OG_10793,-0.07287822,0,0
OG_10794,0.122109477,0,0
OG_10795,-0.046614384,0,0
OG_10796,0.31784253,5.94E-05,0
OG_10797,0.046740137,0,0
OG_10798,-0.306192436,0,0
OG_10799,-0.141519273,0,0
OG_108,-0.165405789,0,0
OG_10800,0.364741881,0,0
OG_10801,0.070560184,0,0
OG_10802,0.093389474,0,0
OG_10803,0.210176376,0,0
OG_10804,-0.237521509,0,0
OG_10805,-0.032644712,0,0
OG_10806,0.263428966,0,0
OG_10807,0.135432257,0,0
OG_10808,0.09755489,0,0
OG_10809,0.728925201,0.747666202,0
OG_10810,0.130354403,0,0
OG_10811,-0.133836338,0,0
OG_10812,0.037769287,0,0
OG_10813,-0.191961273,0,0
OG_10814,-0.105461136,0,0
OG_10815,0.270995876,0,0
OG_10816,0.392501624,0,0
OG_10817,0.23364951,0,0
OG_10818,0.033463548,0,0
OG_10819,0.19820552,0,0
OG_1082,-0.010877968,0,0
OG_10820,0.15012969,0,0
OG_10821,-0.006718264,0,0
OG_10822,0.093719398,0,0
OG_10823,-0.10514008,0,0
OG_10824,-0.001467401,0,0
OG_10825,0.113051387,0,0
OG_10826,-0.510951606,0,8.66E-05
OG_10827,-0.082518961,0,0
OG_10828,-0.018260204,0,0
OG_10829,-0.127726007,0,0
OG_1083,-0.073765598,0,0
OG_10830,-0.04445725,0,0
OG_10831,0.042143023,0,0
OG_10832,-0.045856281,0,0
OG_10833,-0.043788202,0,0
OG_10834,-0.357286763,0,0
OG_10835,-0.475303936,0,0
OG_10836,-0.271203625,0,0
OG_10837,-0.119146775,0,0
OG_10838,-0.173413641,0,0
OG_10839,0.034875823,0,0
OG_1084,0.10575674,0,0
OG_10840,-0.008237535,0,0
OG_10841,-0.028981041,0,0
OG_10842,-0.189196462,0,0
OG_10843,-0.994156819,0,1
OG_10844,0.013390458,0,0
OG_10845,0.038720718,0,0
OG_10846,-0.053586248,0,0
OG_10847,-0.317054684,0,1.73E-06
OG_10848,0.082438569,0,0
OG_10849,0.088634496,0,0
OG_1085,-0.042333289,0,0
OG_10850,0.287426883,0,0
OG_10851,-0.025042952,0,0
OG_10852,0.009784704,0,0
OG_10853,0.026622956,0,0
OG_10854,0.007507847,0,0
OG_10855,-0.255159688,0,0
OG_10856,-0.601908601,0,0.060526174
OG_10857,-0.088031627,0,0
OG_10858,0.01433974,0,0
OG_10859,0.03992429,0,0
OG_1086,0.019727839,0,0
OG_10860,0.136672161,0,0
OG_10861,-0.19609826,0,0
OG_10862,-0.23987092,0,0
OG_10863,0.339198419,1.06E-05,0
OG_10864,0.165768073,0,0
OG_10865,0.103654808,0,0
OG_10866,0.080094188,0,0
OG_10867,-0.191951422,0,0
OG_10868,-0.10746128,0,0
OG_10869,0.229618633,0,0
OG_1087,-0.24615643,0,0
OG_10870,-0.586379938,0,0.010626876
OG_10871,-0.028748423,0,0
OG_10872,-0.089944536,0,0
OG_10873,0.039041122,0,0
OG_10874,0.402741738,0.001822242,0
OG_10876,-0.155074845,0,0
OG_10877,-0.046857456,0,0
OG_10878,-0.258216372,0,6.77E-07
OG_10879,0.179056404,0,0
OG_1088,0.517414372,3.61E-06,0
OG_10880,0.2642538,0,0
OG_10881,0.182091698,0,0
OG_10882,-0.177812007,0,1.66E-06
OG_10883,0.041399745,0,0
OG_10885,-0.179091313,0,0
OG_10886,0.029151154,0,0
OG_10887,0.115693851,0,0
OG_10888,0.231509686,0,0
OG_10889,-0.074411866,0,0
OG_10890,0.316968135,0,0
OG_10892,0.041832888,0,0
OG_10895,-0.220516551,0,0
OG_10896,-0.242791219,0,1.55E-05
OG_10898,0.270562724,1.06E-05,0
OG_1090,-0.047538415,0,0
OG_10900,0.005070023,0,0
OG_10901,0.204226578,0,0
OG_10904,0.065205401,0,0
OG_10905,-0.273671667,0,0
OG_10906,-0.456693393,0,6.37E-06
OG_10907,-0.045878207,0,0
OG_1091,0.275717698,0,0
OG_10911,0.01838298,0,0
OG_10916,-0.18972315,0,0
OG_10918,0.310975377,0,0
OG_1092,-0.031868298,0,0
OG_10920,0.263851493,0.000234439,0
OG_10921,-0.160801892,0,0
OG_10922,0.128124921,0,0
OG_10923,0.080044495,0,0
OG_10928,-0.057085003,0,0
OG_1093,-0.069556576,0,0
OG_10931,-0.237589756,0,0
OG_10932,0.126948627,1.11E-07,0
OG_10933,0.03834161,0,0
OG_10935,0.125938368,0,0
OG_10937,0.189386898,1.80E-06,0
OG_10939,-0.055170353,0,0
OG_1094,0.331098156,0,0
OG_10940,-0.208283088,0,0
OG_10942,0.056636801,0,0
OG_10943,-0.263782414,0,0
OG_10944,0.082845524,0,0
OG_10945,-0.107753554,0,0
OG_10946,0.307945378,0,0
OG_10947,0.011193003,0,0
OG_10949,0.448858218,0,0
OG_1095,-0.077849202,0,0
