"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc","perCellMq","perCellPool","expFactor","ionization_mode","perCellPoolConc","perCellMqConc"
"nadp","mtab_TSQ_cm_PMI_2020_1112_84",0.798,3680.79,260247.831758851,278433.405853931,0.0230667230627303,0.0246785774192218,"R3","neg",33151.8617686783,30986.5840903941
"nadp","mtab_TSQ_cm_PMI_2020_1112_86",0.818,518.37,41787.4692321976,40617.3268257589,0.00600892965811901,0.0058406662160043,"P1","neg",7846.03406188028,8072.0700395199
"nadp","mtab_TSQ_cm_PMI_2020_1112_87",0.798,2794.78,199042.151993911,211804.866893341,0.02982493583715,0.0317373305192321,"P2","neg",42634.2076533525,40065.2004099219
"nadp","mtab_TSQ_cm_PMI_2020_1112_88",0.764,1862.7,134653.950963105,141711.833412469,0.0232885282375137,0.0245091956857649,"N2","neg",32924.3235391315,31284.5451263601
"nadp","mtab_TSQ_cm_PMI_2020_1112_89",0.81,2467.33,176421.865722843,187180.409965489,0.0372038857785639,0.0394726501945112,"N1","neg",53025.4163626378,49977.681356462
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.782,2326.13,613012.570446091,202830.055022554,0.120645899173675,0.039918617573918,"N3","neg",255724.648135285,772875.715398302
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.479,1856.48,489987.258146787,161907.338086907,0.0377901620813413,0.0124870686874674,"R1","neg",79994.0338723088,242089.443186043
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.557,1331.96,352588.691539248,116203.551251847,0.0306575187493968,0.0101038763770262,"R2","neg",64726.9466817822,196396.660790498
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.459,2326.87,613206.414225718,202894.534550995,0.0833074046581483,0.0275643188013761,"P3","neg",176581.158240718,533679.722345601
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.573,2888.13,760229.062540649,251799.642838659,0.0673818995199671,0.0223179289886868,"R3","neg",142971.998646296,431658.549134959
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.468,3894.53,1023856.6028324,339491.801518602,0.147227923094232,0.0488180402478539,"P1","neg",312735.683842754,943164.145382652
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.582,2298.37,605740.80919957,200411.201361033,0.0907656020965508,0.0300300773567893,"P2","neg",192377.177173538,581458.053148948
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.566,2751.9,724543.470515664,239929.310190638,0.125310478836477,0.0414960012344002,"N2","neg",265829.604320309,802757.711956932
"orotic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.575,1865.15,492258.373781057,162662.794183643,0.103807565103427,0.034302369439497,"N1","neg",219746.120688642,665006.823212216
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_80",1.233,2190.68,153464.411537367,118806.798295761,0.0302030542499499,0.0233821518503396,"N3","neg",198002.810147681,255763.013379201
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_81",1.271,5623.39,392356.21834578,307237.163856322,0.0302603890986638,0.0236956002967404,"R1","neg",200657.12843374,256248.531617104
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_82",1.258,5724.23,399373.953545829,312772.533305861,0.034725488260559,0.0271955114676541,"R2","neg",230294.787599747,294059.516136498
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_83",1.225,3221.44,225197.857935647,175387.891252988,0.030594345792814,0.0238273926850571,"P3","neg",201773.16186855,259076.516155593
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_84",1.276,4380.37,305851.010012133,239004.568327108,0.0271087005748561,0.021183854447776,"R3","neg",179387.369360454,229559.662756
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_86",1.276,4595.17,320799.537590182,250795.49809467,0.0461301411919731,0.0360637419378015,"P1","neg",305392.00557034,390635.45763378
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_87",1.276,3420.64,239060.738259425,186322.496512292,0.0358214132451059,0.0279189932776989,"P2","neg",236421.316603429,303339.937717892
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_88",1.245,1967.64,137942.439512189,106563.553531529,0.0238572754438625,0.0184302674207369,"N2","neg",156069.67076583,202026.212582458
"succinic acid","mtab_TSQ_cm_PMI_2020_1112_89",1.271,1659.01,116464.022070785,89622.0514171774,0.0245599611855403,0.0188995199121371,"N1","neg",160043.356017758,207976.638034891
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_80",3.556,129.2,1902.25183669903,0,0.000374378755604182,0,"N3","neg",0,2876.73855543401
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_81",3.604,186.8,2785.99497300971,0,0.000214869264123393,0,"R1","neg",0,1651.06242602884
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_82",3.438,277.82,4182.49324153398,0,0.000363666980956706,0,"R2","neg",0,2794.42893004999
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_83",3.685,147.55,2183.79153377023,0,0.000296679879356038,0,"P3","neg",0,2279.69785889072
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_84",3.646,204.11,3051.57819678641,0,0.000270472605645999,0,"R3","neg",0,2078.32031386199
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_86",3.567,169.56,2521.48574262783,0,0.000362583107802238,0,"P1","neg",0,2786.10041341815
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_87",3.687,372.67,5637.7542915178,0,0.000844774126112138,0,"P2","neg",0,6491.27190803856
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_88",3.48,208.45,3118.16578726537,0,0.000539289723521562,0,"N2","neg",0,4143.91980575966
"3-3-dimethyl-2oxobutanoic acid","mtab_TSQ_cm_PMI_2020_1112_89",3.693,160.97,2389.69141032039,0,0.000503938703466866,0,"N1","neg",0,3872.2814159126
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_80",4.42,112.47,220.142073867422,0,4.33257648017975e-05,0,"N3","neg",0,332.916588303346
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_81",4.494,161.97,279.159467821385,0,2.15301140184972e-05,0,"R1","neg",0,165.438097575666
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_82",4.61,296.16,439.150257612947,0,3.81840302302286e-05,0,"R2","neg",0,293.407332336166
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_83",4.593,87.13,189.929937245333,0,2.58030082069061e-05,0,"P3","neg",0,198.271155731567
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_84",4.561,140.4,253.442191304476,0,2.24635141039289e-05,0,"R3","neg",0,172.610374242577
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_86",4.522,98.44,203.414517560875,0,2.9250479866862e-05,0,"P1","neg",0,224.761640286322
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_87",4.613,142.49,255.934036826977,0,3.83497472793647e-05,0,"P2","neg",0,294.680707540838
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_88",4.491,63.62,161.899655793663,0,2.80006986696407e-05,0,"N2","neg",0,215.15828084863
"4-methyl-2-oxopentanoic acid","mtab_TSQ_cm_PMI_2020_1112_89",4.544,76.59,177.363405280186,0,3.74024378684869e-05,0,"N1","neg",0,287.40155116403
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.846,2248.18,76973.1673079536,0,0.0151489503312403,0,"N3","neg",0,54859.673829363
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.725,2809.48,95810.8022737247,0,0.00738938755420195,0,"R1","neg",0,26759.5696175923
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.688,1633.83,56355.135878733,0,0.00490006819925121,0,"R2","neg",0,17744.8692664996
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.607,1633.83,56355.135878733,0,0.00765614970799443,0,"P3","neg",0,27725.609140271
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.563,1989.88,68304.4320297446,0,0.00605407317685988,0,"R3","neg",0,21923.9269097555
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.768,1642.62,56650.1346518474,0,0.00814614238432116,0,"P1","neg",0,29500.0448479799
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.732,2894.11,98651.0464339834,0,0.0147821006791128,0,"P2","neg",0,53531.1822956211
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.743,1996.95,68541.7063557877,0,0.0118543529729143,0,"N2","neg",0,42928.7787821913
"6-phosphogluconic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.807,1633.83,56355.135878733,0,0.0118841847050955,0,"N1","neg",0,43036.8099699265
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_80",0.539,3668.32,77072.7156531067,0,0.0151685422616366,0,"N3","neg",0,75812.3863536415
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_81",0.572,4823.63,100464.012447464,0,0.00774826538977921,0,"R1","neg",0,38725.8366142503
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_82",0.546,1201.22,27121.9073667085,0,0.00235824461636687,0,"R2","neg",0,11786.508478443
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_83",0.535,1502.23,33216.3878507946,0,0.00451262576478785,0,"P3","neg",0,22554.1071810668
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_84",0.544,1521.97,33616.0591067524,0,0.00297951502856069,0,"R3","neg",0,14891.6184954053
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_86",0.58,2183.46,47009.0955355025,0,0.00675978597303955,0,"P1","neg",0,33785.4156989182
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_87",0.571,2141.21,46153.6694684196,0,0.00691577244696769,0,"P2","neg",0,34565.0362203503
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_88",0.564,2630.06,56051.3033830585,0,0.0096941259595381,0,"N2","neg",0,48451.2492979713
"d-erythrose-4-phosphate","mtab_TSQ_cm_PMI_2020_1112_89",0.581,3087.57,65314.4035002447,0,0.0137735172313366,0,"N1","neg",0,68840.0501366283
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_80",0.503,1739.86,81425.0049162591,0,0.0160251084675055,0,"N3","neg",0,47116.042771685
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_81",0.466,1218.3,57355.1978474448,0,0.0044235073194761,0,"R1","neg",0,13005.7253894981
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_82",0.51,5622.12,260589.912483893,0,0.0226582426481178,0,"R2","neg",0,66618.3777728972
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_83",0.508,1229.51,57872.535329693,0,0.00786229662224156,0,"P3","neg",0,23116.2431560672
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_84",0.508,1016.31,48033.4317422415,0,0.00425737982238986,0,"R3","neg",0,12517.2874937959
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_86",0.517,799.77,38040.1883518721,0,0.00547008038983787,0,"P1","neg",0,16082.7954540688
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_87",0.517,1361.07,63943.9821775594,0,0.00958151399848166,0,"P2","neg",0,28170.9808258311
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_88",0.51,1873.2,87578.5981261596,0,0.015146801418562,0,"N2","neg",0,44533.6981611255
"d-fructose 1_6-bisphosphate","mtab_TSQ_cm_PMI_2020_1112_89",0.466,1654.12,77468.134646146,0,0.0163364989994007,0,"N1","neg",0,48031.5741485379
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_80",0.476,3545.44,245576.300720228,0,0.0483314291492855,0,"N3","neg",0,210036.196381233
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_81",0.509,506.34,36652.893389144,0,0.00282684653303971,0,"R1","neg",0,12284.7617793217
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_82",0.509,713.01,50860.4550334187,0,0.00442230675913871,0,"R2","neg",0,19218.2293648199
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_83",0.648,460.68,33513.9895101215,0,0.00455305655821291,0,"P3","neg",0,19786.4350015771
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_84",0.481,2298.86,159879.962623165,0,0.0141707494590213,0,"R3","neg",0,61582.5016688597
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_86",0.508,1400.84,98145.4365294337,0,0.0141130591348744,0,"P1","neg",0,61331.7940762001
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_87",0.657,249.81,19017.69820549,0,0.00284965582951682,0,"P2","neg",0,12383.8852267038
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_88",0.483,667.13,47706.427219806,0,0.00825087173063167,0,"N2","neg",0,35856.2067299625
"d-ribose 5-phosphate","mtab_TSQ_cm_PMI_2020_1112_89",0.474,1325.32,92953.8022555883,0,0.0196021203359961,0,"N1","neg",0,85185.8690886798
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.527,9734.51,209156.168098007,0,0.041163648486917,0,"N3","neg",0,279777.397450669
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.534,12614.04,269578.75437602,0,0.0207912035510606,0,"R1","neg",0,141311.789241219
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.525,8080.97,174459.129583337,0,0.0151691876811348,0,"R2","neg",0,103100.575553149
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.533,6024.61,131309.522002011,0,0.0178391080574427,0,"P3","neg",0,121247.251121068
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_84",0.533,15032.25,320321.237476857,0,0.0283912500867106,0,"R3","neg",0,192967.104511049
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_86",0.533,8609.24,185544.077353663,0,0.0266807569298716,0,"P1","neg",0,181341.377896225
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_87",0.533,6451.67,140270.730843693,0,0.0210184903314915,0,"P2","neg",0,142856.591663777
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_88",0.534,12478.46,266733.812928085,0,0.0461318653470291,0,"N2","neg",0,313544.928614349
"glutamic acid","mtab_TSQ_cm_PMI_2020_1112_89",0.535,12321.25,263434.998611593,0,0.055553236319464,0,"N1","neg",0,377579.258611187
"malic acid","mtab_TSQ_cm_PMI_2020_1112_80",0.558,4606.33,331870.022790314,0,0.0653147410650797,0,"N3","neg",0,487096.286561859
"malic acid","mtab_TSQ_cm_PMI_2020_1112_81",0.566,13558.92,977705.168902162,0,0.0754053012323627,0,"R1","neg",0,562348.431891735
"malic acid","mtab_TSQ_cm_PMI_2020_1112_82",0.557,12372.12,892090.039492065,0,0.0775670569367475,0,"R2","neg",0,578470.109156145
"malic acid","mtab_TSQ_cm_PMI_2020_1112_83",0.564,4252.44,306340.583839404,0,0.0416180235383655,0,"P3","neg",0,310373.805193269
