"compound","sample","rt","peakIntensity","sampMqConc","sampPooledConc","perCellMq","perCellPool","expFactor","ionization_mode","perCellPoolConc","perCellMqConc"
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_59",0.987,134925.55,15.0483095615585,14.0095884529882,2.25487346592185e-06,2.09922909559395e-06,"P2","pos",15.423033543413,16.5665525378139
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_60",0.767,7550.7,0.842133094928721,0.78400421218945,1.4564771564977e-07,1.35594270374632e-07,"N2","pos",0.996210935086562,1.07007358496635
"hypoxanthine","mtab_TSQ_cm_PMI_2020_1112_61",0.986,6356.54,0.708947872811556,0.660012202173405,1.49503099147998e-07,1.39183533070064e-07,"N1","pos",1.02258124362695,1.0983990827125
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_52",2.689,483.96,0.303696714878107,0.528026374839826,5.97700031108619e-08,1.03919919184706e-07,"N3","pos",0.499087115477409,0.287052171313332
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_53",2.655,827.46,0.51925135071708,0.902803339377144,4.00471489376474e-08,6.96285137121217e-08,"R1","pos",0.334398778753826,0.192330942933663
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_54",2.766,1257.35,0.789017820588452,1.37183643773216,6.8604947375648e-08,1.19280913767474e-07,"R2","pos",0.572860021935808,0.329482986147575
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_55",2.639,483.96,0.303696714878107,0.528026374839826,4.12588396545831e-08,7.17352360615793e-08,"P3","pos",0.344516550098834,0.19815022406389
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_56",2.609,1317.38,0.826688111096206,1.43733239459147,7.32724095683431e-08,1.2739605963693e-07,"R3","pos",0.611833923911872,0.351898998983494
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_58",2.739,801.26,0.502810211098503,0.874217731019421,7.23028038162909e-08,1.25710241565157e-07,"P1","pos",0.603737592763217,0.347242358161036
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_59",2.663,894.24,0.561157431012063,0.975663909076713,8.40851257224485e-08,1.46195733895231e-07,"P2","pos",0.702121476780477,0.403828286055367
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_60",2.691,562.23,0.352813050677572,0.613423152174137,6.10193509696519e-08,1.0609211462994e-07,"N2","pos",0.509519328738546,0.293052305108308
"l-kynurenine","mtab_TSQ_cm_PMI_2020_1112_61",2.829,1040.58,0.652989353599182,1.1353287154534,1.37702553061577e-07,2.39418394527175e-07,"N1","pos",1.14983380331945,0.661332019314076
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_52",1.335,46314.33,21.6618812332995,35.2773256298956,4.2632358049085e-06,6.94286687785884e-06,"N3","pos",38.3181570608689,23.5290899327143
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_53",1.279,59070.91,27.6283179906289,44.9939301145942,2.13082809306018e-06,3.47014719961899e-06,"R1","pos",19.1519796877255,11.7601859543031
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_54",1.33,60789.11,28.4319449530626,46.3026719423889,2.47215213192199e-06,4.02600839812512e-06,"R2","pos",22.2198156527685,13.6439766649483
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_55",1.285,40612.52,18.9950623235832,30.9342938285115,2.58058185104862e-06,4.20259096121794e-06,"P3","pos",23.1943868934154,14.2424076993687
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_56",1.323,55478.1,25.9479088491426,42.2573099735635,2.29985865178984e-06,3.74542089341725e-06,"R3","pos",20.6712340273594,12.6930771664542
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_58",1.317,92767.97,43.3889197661779,70.6607627858242,6.23921408994649e-06,1.01608343594519e-05,"P1","pos",56.0783396404432,34.4346492077184
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_59",1.285,67170.05,31.4164027750112,51.1629926725997,4.70750636291068e-06,7.66638100729308e-06,"P2","pos",42.3112810160223,25.9810495221076
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_60",1.311,35075.55,16.4053414632719,26.7168195890491,2.8373193298884e-06,4.6206992291419e-06,"N2","pos",25.5019550148568,15.6593594011171
"l-tyrosine","mtab_TSQ_cm_PMI_2020_1112_61",1.278,34788.68,16.2711682199281,26.4983125653385,3.4312678956077e-06,5.58797057250422e-06,"N1","pos",30.840391702104,18.9374021502715
"methionine","mtab_TSQ_cm_PMI_2020_1112_52",0.863,1245.82,0.822512217317221,1.78667041556845,1.61877147098888e-07,3.51631384420713e-07,"N3","pos",2.35662076550307,1.08489475972715
"methionine","mtab_TSQ_cm_PMI_2020_1112_53",0.842,17195.82,11.3529820012424,24.6610769336182,8.75596299291879e-07,1.90198026362284e-06,"R1","pos",12.747002638046,5.86821459213108
"methionine","mtab_TSQ_cm_PMI_2020_1112_54",0.864,17648.72,11.6519945257026,25.3105953481652,1.0131386774775e-06,2.20075138557981e-06,"R2","pos",14.7493558446472,6.79001861455331
"methionine","mtab_TSQ_cm_PMI_2020_1112_55",0.852,3688.13,2.43496812063875,5.28926551168744,3.30803575843019e-07,7.18575298797084e-07,"P3","pos",4.81586555054677,2.21703354897808
"methionine","mtab_TSQ_cm_PMI_2020_1112_56",0.863,32767.09,21.6334075957465,46.99233461276,1.91744852797329e-06,4.16510355247878e-06,"R3","pos",27.9143727128127,12.8506703838435
"methionine","mtab_TSQ_cm_PMI_2020_1112_58",0.863,26320.28,17.3771105482414,37.7467576419369,2.49878341197283e-06,5.42788581505434e-06,"P1","pos",36.3774935664791,16.7467556596262
"methionine","mtab_TSQ_cm_PMI_2020_1112_59",0.853,9025.85,5.95902449525023,12.9442609448865,8.92913995565524e-07,1.93959796090015e-06,"P2","pos",12.9991150787491,5.98427716349791
"methionine","mtab_TSQ_cm_PMI_2020_1112_60",0.864,2151.12,1.42020715746691,3.08499017862741,2.45626171777534e-07,5.33551970614679e-07,"N2","pos",3.57584592597466,1.64617768097
"methionine","mtab_TSQ_cm_PMI_2020_1112_61",0.852,8037.09,5.30622779910265,11.5262485192572,1.11897860361021e-06,2.43065807976127e-06,"N1","pos",16.2901821577727,7.49935395489719
"proline","mtab_TSQ_cm_PMI_2020_1112_52",0.577,142236.34,9.71823681462366,46.4642247861546,1.91262867257318e-06,9.14454033895923e-06,"N3","pos",79.427953956043,16.612774016965
"proline","mtab_TSQ_cm_PMI_2020_1112_53",0.568,87020.9,5.94566560150299,28.4270437406747,4.58558182945532e-07,2.19242964504121e-06,"R1","pos",19.0430786505794,3.9829599838924
"proline","mtab_TSQ_cm_PMI_2020_1112_54",0.578,82011.01,5.60336701989428,26.7904672151967,4.8721168203728e-07,2.32942595909537e-06,"R2","pos",20.2330058116509,4.23183950349414
"proline","mtab_TSQ_cm_PMI_2020_1112_55",0.557,72362.75,4.94415380104275,23.6386782881527,6.71690008193518e-07,3.21144217028696e-06,"P3","pos",27.8940516832013,5.83418751145243
"proline","mtab_TSQ_cm_PMI_2020_1112_56",0.567,70763.68,4.83489803037851,23.1163114448495,4.28534805264475e-07,2.04888375333037e-06,"R3","pos",17.7962629491042,3.72218192707787
"proline","mtab_TSQ_cm_PMI_2020_1112_58",0.577,79276.2,5.41651230173294,25.8970891474861,7.78880415863314e-07,3.72393422948379e-06,"P1","pos",32.3454723311369,6.76522553516298
"proline","mtab_TSQ_cm_PMI_2020_1112_59",0.578,81438.53,5.56425256987654,26.6034556581953,8.33760458354277e-07,3.98632324913978e-06,"P2","pos",34.6245396433578,7.24190444153806
"proline","mtab_TSQ_cm_PMI_2020_1112_60",0.568,90570.41,6.18818434710538,29.5865591677498,1.07025233849983e-06,5.11702340481494e-06,"N2","pos",44.4456128273685,9.29603351428672
"proline","mtab_TSQ_cm_PMI_2020_1112_61",0.577,98689.34,6.74290675082691,32.2387631582564,1.4219458089587e-06,6.79851818405663e-06,"N1","pos",59.0507963524419,12.3507844085703
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_52",4.532,1670.45,0.133705182049423,0.105194754343817,2.63142759059475e-08,2.07031900127727e-08,"N3","pos",0.0550090073673416,0.0699178337388338
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_53",4.532,7427.63,0.59451801690907,0.467746842591377,4.58520744074959e-08,3.60748748067822e-08,"R1","pos",0.095852042743071,0.121830360313253
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_54",4.55,4064.63,0.325338737533926,0.255965610672878,2.82881405024902e-08,2.22561604972264e-08,"R2","pos",0.0591352973143437,0.0751624521800675
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_55",4.534,84286.16,6.74638352961586,5.30782836707693,9.16532654653377e-07,7.21097163000829e-07,"P3","pos",1.91597715751097,2.43525522014395
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_56",4.526,3681.07,0.294638052313251,0.23181134087964,2.61148548693753e-08,2.0546292227424e-08,"R3","pos",0.0545921251658625,0.0693879659617794
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_58",4.558,163420.67,13.0804217025285,10.291237232693,1.8809307037064e-06,1.47985321347529e-06,"P1","pos",3.93201512773751,4.99769025323201
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_59",4.545,45156.62,3.6143997712213,2.84368855571678,5.41590010892681e-07,4.26104862037893e-07,"P2","pos",1.13217361578779,1.43902117890499
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_60",4.563,967.62,0.077449674192381,0.0609348069072191,1.33949944395595e-08,1.05387325151346e-08,"N2","pos",0.0280017337526161,0.0355909088095427
"riboflavin","mtab_TSQ_cm_PMI_2020_1112_61",4.544,1381.07,0.110542797313896,0.0869713666267265,2.33112918745005e-08,1.83405428614475e-08,"N1","pos",0.0487313818191293,0.0619388135681276
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_52",0.523,853.62,2.15662832350271,123.873489176245,4.24442133516217e-07,2.4379318150969e-05,"N3","pos",61.1869243825143,1.0652598471946
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_53",0.524,780.01,1.97065633257813,113.191537560463,1.51986446538248e-07,8.72987303144259e-06,"R1","pos",21.9101320937722,0.381453786111455
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_54",0.524,3719.48,9.39708057063078,539.754182799441,8.17074343836797e-07,4.69315221285175e-05,"R2","pos",117.788179220253,2.05068352534082
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_55",0.523,4195.12,10.5987612901439,608.776917027539,1.4398989886432e-06,8.27056335302537e-05,"P3","pos",207.573620947329,3.61384145327578
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_56",0.523,6845.34,17.2944098404513,993.364905224474,1.53286718904424e-06,8.80455872165742e-05,"R3","pos",220.975773558313,3.84717194318904
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_58",0.523,4149.15,10.4826203796318,602.105957704384,1.50737361346206e-06,8.65812745556822e-05,"P1","pos",217.300658959146,3.78318846868301
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_59",0.594,5039.51,12.7320704793411,731.310990181319,1.90780285138817e-06,0.000109581328078827,"P2","pos",275.025921290099,4.78818103450499
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_60",0.524,584.64,1.47706377902653,84.840323225791,2.55459578277753e-07,1.4673214183407e-05,"N2","pos",36.8266594302956,0.641149428465397
"s-adenosyl-l-methionine","mtab_TSQ_cm_PMI_2020_1112_61",0.523,4378.49,11.0620364426482,635.386745417511,2.33276492459918e-06,0.00013399051078432,"N1","pos",336.287799378376,5.85474582019672
"serine","mtab_TSQ_cm_PMI_2020_1112_52",0.572,3085.78,3.48923312817455,27.1151372386203,6.86709683406423e-07,5.33648129106126e-06,"N3","pos",50.7801055386931,6.53449123043508
"serine","mtab_TSQ_cm_PMI_2020_1112_53",0.523,8607.65,9.73306507130504,75.6365039153828,7.50660553876428e-07,5.83344912485878e-06,"R1","pos",55.509079121313,7.14302553883745
"serine","mtab_TSQ_cm_PMI_2020_1112_54",0.523,3085.78,3.48923312817455,27.1151372386203,3.03388147762307e-07,2.3576559550349e-06,"R2","pos",22.4346365499562,2.88693641414318
"serine","mtab_TSQ_cm_PMI_2020_1112_55",0.432,6092.37,6.88892248737654,53.5344219803269,9.35897342233681e-07,7.27294048397467e-06,"P3","pos",69.2067797504488,8.9056745859138
"serine","mtab_TSQ_cm_PMI_2020_1112_56",0.522,4784.29,5.40981637148281,42.0401583843821,4.79491933584474e-07,3.72617394893197e-06,"R3","pos",35.4569792457129,4.56267897596797
"serine","mtab_TSQ_cm_PMI_2020_1112_58",0.532,3085.78,3.48923312817455,27.1151372386203,5.01742671025995e-07,3.89908638476655e-06,"P1","pos",37.1023540276577,4.77440927800928
"serine","mtab_TSQ_cm_PMI_2020_1112_59",0.373,3085.78,3.48923312817455,27.1151372386203,5.22834751966748e-07,4.06299479912228e-06,"P2","pos",38.6620496633579,4.97511420655389
"serine","mtab_TSQ_cm_PMI_2020_1112_60",0.523,5332.67,6.0298948160992,46.8588424639065,1.04287601432832e-06,8.10428114505828e-06,"N2","pos",77.11752921361,9.92364653466857
"serine","mtab_TSQ_cm_PMI_2020_1112_61",0.522,9784.94,11.0642809290359,85.9814993199986,2.33323824243231e-06,1.81317994040277e-05,"N1","pos",172.535915919951,22.2022860636817
"spermidine","mtab_TSQ_cm_PMI_2020_1112_52",0.416,22950.84,6.81059866533222,30.1004162346545,1.34038164876799e-06,5.92400866998391e-06,"N3","pos",40.7849133905949,9.2281008521032
"spermidine","mtab_TSQ_cm_PMI_2020_1112_53",0.416,13093.25,3.88538593684855,17.1720196238739,2.9965955616357e-07,1.32438832655474e-06,"R1","pos",9.11799192120303,2.06306062763215
"spermidine","mtab_TSQ_cm_PMI_2020_1112_54",0.406,15349.52,4.55492785560312,20.1311560274985,3.96050098843736e-07,1.75040013525609e-06,"R2","pos",12.0509475749128,2.72667882164362
"spermidine","mtab_TSQ_cm_PMI_2020_1112_55",0.435,12524.57,3.71663171046724,16.4261861509238,5.04924499624085e-07,2.23158614280472e-06,"P3","pos",15.3637600193096,3.47624440360816
"spermidine","mtab_TSQ_cm_PMI_2020_1112_56",0.416,16082.01,4.77229224907931,21.0918290960103,4.22985824473378e-07,1.86944643248717e-06,"R3","pos",12.8705434250408,2.9121227158236
"spermidine","mtab_TSQ_cm_PMI_2020_1112_58",0.435,18001.07,5.34176802751236,23.6087088607281,7.68132383154204e-07,3.39487108144418e-06,"P1","pos",23.3726064126966,5.28834687197387
"spermidine","mtab_TSQ_cm_PMI_2020_1112_59",0.426,14569.24,4.3233819110283,19.1078055627846,6.47825532452335e-07,2.86315772407958e-06,"P2","pos",19.7119292535599,4.46007251258062
"spermidine","mtab_TSQ_cm_PMI_2020_1112_60",0.446,14259.72,4.23153270207152,18.7018648288964,7.31847584978453e-07,3.23450521909495e-06,"N2","pos",22.2685385135625,5.0385375902131
"spermidine","mtab_TSQ_cm_PMI_2020_1112_61",0.426,15031.11,4.46044056358991,19.7135559077087,9.40618786508988e-07,4.15719944506156e-06,"N1","pos",28.6209944582552,6.47586083655069
"thiamine","mtab_TSQ_cm_PMI_2020_1112_52",0.546,24577.59,13.1316498013055,61.0088486071676,2.58441633058099e-06,1.20070415397944e-05,"N3","pos",45.2481215699216,9.73928372995549
"thiamine","mtab_TSQ_cm_PMI_2020_1112_53",0.536,7223.29,3.8593578415651,17.9303424809214,2.97652144903224e-07,1.38287381408802e-06,"R1","pos",5.21131223277065,1.12169183337061
"thiamine","mtab_TSQ_cm_PMI_2020_1112_54",0.536,8770.96,4.6862680653904,21.7721172327931,4.07470104762034e-07,1.89308139567522e-06,"R2","pos",7.13401189205314,1.53553702427658
"thiamine","mtab_TSQ_cm_PMI_2020_1112_55",0.546,17469.38,9.33377847079109,43.3641687277346,1.26804423766103e-06,5.89125662755355e-06,"P3","pos",22.2009972398008,4.7785809378242
"thiamine","mtab_TSQ_cm_PMI_2020_1112_56",0.556,4823.31,2.57706381313769,11.9728821896467,2.28414649570309e-07,1.0612006096834e-06,"R3","pos",3.99909786585544,0.860772722227574
"thiamine","mtab_TSQ_cm_PMI_2020_1112_58",0.545,8985.36,4.80082061986787,22.3043214538488,6.90345549421449e-07,3.20730355656438e-06,"P1","pos",12.0866127395402,2.60154337285744
"thiamine","mtab_TSQ_cm_PMI_2020_1112_59",0.536,6495.28,3.47038673529112,16.1232063103487,5.20010764922399e-07,2.41593847774512e-06,"P2","pos",9.10438075725475,1.95964261728369
"thiamine","mtab_TSQ_cm_PMI_2020_1112_60",0.556,22508.02,12.025891731483,55.8715636735376,2.07988935465148e-06,9.6630398066949e-06,"N2","pos",36.4148319516691,7.83799123700437
"thiamine","mtab_TSQ_cm_PMI_2020_1112_61",0.536,14233,7.60460124943012,35.3305162233489,1.60366015355369e-06,7.45050781934327e-06,"N1","pos",28.0769815320443,6.04333793169163
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_52",4.122,945.59,0.110441213658746,0.138602907421004,2.17357362149935e-08,2.72781884092916e-08,"N3","pos",0.170254577513991,0.135661816346233
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_53",4.092,1007.64,0.11768841097209,0.147698086521326,9.07669342780839e-09,1.13911832112843e-08,"R1","pos",0.0710971365078286,0.0566514381962825
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_54",4.118,786.41,0.0918496122350854,0.115270584952201,7.98630607501635e-09,1.00227551371501e-08,"R2","pos",0.062556204825553,0.0498458748908772
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_55",4.106,1972.19,0.230344078475494,0.28908011716138,3.12934876592839e-08,3.92730958781579e-08,"P3","pos",0.245119809500424,0.195315738729771
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_56",4.184,788.23,0.0920621811167983,0.115537357328713,8.15980990896336e-09,1.02405011672513e-08,"R3","pos",0.0639152488281819,0.0509287848518497
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_58",4.167,1514.47,0.176884172685583,0.221988330250836,2.54354851066999e-08,3.19213459419738e-08,"P1","pos",0.199234464748307,0.158753495860067
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_59",4.204,927.81,0.108364579198935,0.135996746511999,1.62375988666304e-08,2.03780666464338e-08,"P2","pos",0.127188032994843,0.101345642657786
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_60",4.179,652.18,0.0761720732283134,0.0955953892932775,1.31740321438737e-08,1.65333130369313e-08,"N2","pos",0.103191318417996,0.082224642016438
"tryptamine","mtab_TSQ_cm_PMI_2020_1112_61",4.177,706.06,0.0824650464957266,0.103493024263871,1.73902489806496e-08,2.18246340260342e-08,"N1","pos",0.136216664748684,0.108539813884968
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_52",3.755,66300.6,12.9420046238137,18.2416606655357,2.54709260499116e-06,3.59010835913706e-06,"N3","pos",17.5787512076436,12.4716868481181
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_53",3.743,114235.5,22.2989892882368,31.43026197286,1.71980476112732e-06,2.42405220638937e-06,"R1","pos",11.8692268833637,8.42092131972443
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_54",3.773,128432.95,25.0703588315948,35.3364870329033,2.17986286678218e-06,3.07250073455195e-06,"R2","pos",15.0443163812954,10.6735683630328
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_55",3.733,74281.22,14.49983699548,20.4374139760726,1.96988120156063e-06,2.77653311637419e-06,"P3","pos",13.5951286117328,9.64540567771938
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_56",3.749,104568.86,20.4120425701566,28.7706244031262,1.80919445102908e-06,2.55004631917042e-06,"R3","pos",12.4861495332244,8.85861259868325
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_58",3.781,141237.86,27.5699018889354,38.8595746531168,3.96448036159626e-06,5.58790601406141e-06,"P1","pos",27.3608481323087,19.4118413631507
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_59",3.751,102368.44,19.9825163544914,28.1652103501363,2.99422640966894e-06,4.22034017979441e-06,"P2","pos",20.6646436850336,14.6610508234292
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_60",3.792,37208.24,7.26312000380041,10.2373144140748,1.25616347750021e-06,1.77055321513597e-06,"N2","pos",8.66940809448156,6.15072945943402
"tryptophan","mtab_TSQ_cm_PMI_2020_1112_61",3.749,53027.54,10.3510777861658,14.5897682767293,2.1828377909036e-06,3.07669386829793e-06,"N1","pos",15.0648478103018,10.6881349013544
"valine","mtab_TSQ_cm_PMI_2020_1112_52",0.692,15903.73,6.96351363001767,31.6124100804952,1.37047656737327e-06,6.22158145375859e-06,"N3","pos",53.1078229087374,11.6984768875226
"valine","mtab_TSQ_cm_PMI_2020_1112_53",0.682,41800.07,18.3023326716872,83.0874866608906,1.41156347768229e-06,6.40810456933498e-06,"R1","pos",54.6999963238154,12.0491974193964
"valine","mtab_TSQ_cm_PMI_2020_1112_54",0.714,55015.1,24.0885879417461,109.355472069725,2.09449807719761e-06,9.50843721246673e-06,"R2","pos",81.1646368968564,17.8787714656219
"valine","mtab_TSQ_cm_PMI_2020_1112_55",0.682,29947.42,13.1126010913077,59.5275524605124,1.78141770844613e-06,8.08713964187538e-06,"P3","pos",69.0323486288978,15.2062971271543
"valine","mtab_TSQ_cm_PMI_2020_1112_56",0.703,42611.34,18.6575505798525,84.7000769102223,1.65368736925011e-06,7.50727951997089e-06,"R3","pos",64.0826250104216,14.1159826653872
"valine","mtab_TSQ_cm_PMI_2020_1112_58",0.692,41733,18.2729657961703,82.9541692350982,2.62760507233109e-06,1.19285943116491e-05,"P1","pos",101.823254900974,22.4294073609141
"valine","mtab_TSQ_cm_PMI_2020_1112_59",0.693,53083.66,23.242898989182,105.516280048365,3.48276967505314e-06,1.58108031424093e-05,"P2","pos",134.96204133512,29.7291478877776
"valine","mtab_TSQ_cm_PMI_2020_1112_60",0.56,11211.04,4.90880000142566,22.2845831706672,8.48981605276715e-07,3.85413974650848e-06,"N2","pos",32.8991869100169,7.24696205955369
"valine","mtab_TSQ_cm_PMI_2020_1112_61",0.682,15313.88,6.70524538007467,30.439944244746,1.4140037699717e-06,6.41918281584497e-06,"N1","pos",54.7945609547159,12.0700279126906
"adenosine","mtab_TSQ_cm_PMI_2020_1112_52",1.946,245139.42,16.0578660358406,0,3.16031967386021e-06,0,"N3","pos",0,11.8257733642427
"adenosine","mtab_TSQ_cm_PMI_2020_1112_53",1.793,864177.44,56.6079725680826,0,4.36587773023908e-06,0,"R1","pos",0,16.3369171165959
"adenosine","mtab_TSQ_cm_PMI_2020_1112_54",1.935,512841.97,33.5937306689254,0,2.92096840471166e-06,0,"R2","pos",0,10.9301317344397
"adenosine","mtab_TSQ_cm_PMI_2020_1112_55",1.793,8398089,550.117105274487,0,7.47363811520757e-05,0,"P3","pos",0,279.660159976335
"adenosine","mtab_TSQ_cm_PMI_2020_1112_56",1.918,361570.06,23.6846590648328,0,2.09925849445661e-06,0,"R3","pos",0,7.85533039386547
"adenosine","mtab_TSQ_cm_PMI_2020_1112_58",1.906,10440622,683.913298835619,0,9.83449579614381e-05,0,"P1","pos",0,368.002387222864
"adenosine","mtab_TSQ_cm_PMI_2020_1112_59",1.799,8775078,574.811782527886,0,8.61311252947892e-05,0,"P2","pos",0,322.298777483869
"adenosine","mtab_TSQ_cm_PMI_2020_1112_60",1.907,159875.73,10.4726651255119,0,1.81125734338338e-06,0,"N2","pos",0,6.7776431050119
"adenosine","mtab_TSQ_cm_PMI_2020_1112_61",1.804,178865.38,11.7165827939453,0,2.47079581771245e-06,0,"N1","pos",0,9.24560626295633
"betaine","mtab_TSQ_cm_PMI_2020_1112_52",0.535,973762.81,28.3317064013462,0,5.57591207538795e-06,0,"N3","pos",0,47.5963472077503
"betaine","mtab_TSQ_cm_PMI_2020_1112_53",0.535,12798997,372.387835632901,0,2.87203318692656e-05,0,"R1","pos",0,245.158616041533
"betaine","mtab_TSQ_cm_PMI_2020_1112_54",0.535,12838372,373.533454389436,0,3.24786618410205e-05,0,"R2","pos",0,277.239964498681
"betaine","mtab_TSQ_cm_PMI_2020_1112_55",0.535,12773063,371.633283840342,0,5.04883896239346e-05,0,"P3","pos",0,430.972169218392
"betaine","mtab_TSQ_cm_PMI_2020_1112_56",0.535,12785526,371.995895816537,0,3.2971365222452e-05,0,"R3","pos",0,281.445712526265
"betaine","mtab_TSQ_cm_PMI_2020_1112_58",0.534,12867751,374.38823873098,0,5.3836057380286e-05,0,"P1","pos",0,459.548078363517
"betaine","mtab_TSQ_cm_PMI_2020_1112_59",0.535,12857616,374.093360099932,0,5.60550132236595e-05,0,"P2","pos",0,478.489229395301
"betaine","mtab_TSQ_cm_PMI_2020_1112_60",0.545,733861.81,21.3517677267635,0,3.69280843279387e-06,0,"N2","pos",0,31.5220523499263
"betaine","mtab_TSQ_cm_PMI_2020_1112_61",0.535,1078720.25,31.3854514655235,0,6.61857160759415e-06,0,"N1","pos",0,56.496556616254
"choline","mtab_TSQ_cm_PMI_2020_1112_52",0.522,1524652.75,161.888822223322,0,3.18610473339673e-05,0,"N3","pos",0,305.856267005542
"choline","mtab_TSQ_cm_PMI_2020_1112_53",0.523,1718607,182.483036281381,0,1.40739649929893e-05,0,"R1","pos",0,135.105740549
"choline","mtab_TSQ_cm_PMI_2020_1112_54",0.523,2374204.25,252.094865371873,0,2.1919599939593e-05,0,"R2","pos",0,210.421425934463
"choline","mtab_TSQ_cm_PMI_2020_1112_55",0.522,145845.22,15.4859596014249,0,2.10385128580988e-06,0,"P3","pos",0,20.1963260613409
"choline","mtab_TSQ_cm_PMI_2020_1112_56",0.522,2315225.25,245.832428993551,0,2.17890328657452e-05,0,"R3","pos",0,209.168022134446
"choline","mtab_TSQ_cm_PMI_2020_1112_58",0.522,202371.41,21.4879546943217,0,3.08991213460564e-06,0,"P1","pos",0,29.6622073015805
"choline","mtab_TSQ_cm_PMI_2020_1112_59",0.523,179682.3,19.0788072375022,0,2.85881254803386e-06,0,"P2","pos",0,27.4437222620127
"choline","mtab_TSQ_cm_PMI_2020_1112_60",0.522,880220.75,93.4625281160115,0,1.61644326780693e-05,0,"N2","pos",0,155.173588154644
"choline","mtab_TSQ_cm_PMI_2020_1112_61",0.522,1560807.25,165.727735328666,0,3.49487049705847e-05,0,"N1","pos",0,335.496831818995
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_52",0.423,1259.17,21.6108138136247,0,4.25318531807972e-06,0,"N3","pos",0,23.7382671098941
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_53",0.424,1810.76,31.0776124122709,0,2.39685418474493e-06,0,"R1","pos",0,13.3775419140756
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_54",0.364,1882.14,32.3026891612536,0,2.80871259453548e-06,0,"R2","pos",0,15.6762437603141
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_55",0.453,2385.79,40.9467057572907,0,5.56283122094857e-06,0,"P3","pos",0,31.0477826698028
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_56",0.553,3522.96,60.4636646623152,0,5.35911711040022e-06,0,"R3","pos",0,29.9107948339578
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_58",0.443,1558.77,26.7527722613021,0,3.8469792411831e-06,0,"P1","pos",0,21.471112581253
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_59",0.306,1687.7,28.965564993809,0,4.34026716840149e-06,0,"P2","pos",0,24.2242963018446
"d-glucosamine","mtab_TSQ_cm_PMI_2020_1112_60",0.374,2119.35,36.3738639388689,0,6.29089418757518e-06,0,"N2","pos",0,35.1113143248043
